,Unnamed: 0,tanggal,sentiment,topic,text
3565,3565,9/14/2021,netral,lain,cek dm gan ganbate
3566,3566,9/14/2021,netral,experience,pernah baru naik menit sebelum keretanya jalan
3567,3567,9/14/2021,netral,syarat,kalo untuk kiaracondong jakarta apa surat antigen
3568,3568,9/14/2021,netral,ticketing,min di kai access tolong kasih tanda kursi pilih itu menghadap maju atau mundur dari arah kereta suka nyesel kalo milih kursi kirain kursi depan pas di kereta ada di ujung
3569,3569,9/14/2021,netral,jadwalrute,kereta api pagi untuk surabaya yogyakarta tanggal oktober apa ada ya
3570,3570,9/14/2021,netral,experience,karna saya pemalas jadi pake praktis mintol jasa porter
3571,3571,9/14/2021,netral,jadwalrute,min kai ranggajati belum beroperasi
3572,3572,9/14/2021,netral,experience,tips anti salah pilih tempat duduk di deretan gerbong
3573,3573,9/14/2021,netral,jadwalrute,ka lokal ndoho penataran jombang surabaya kapan beroperasi min update persyaratan ini berlaku di daerah tertentu
3574,3574,9/14/2021,netral,syarat,update persyaratan ini berlaku di daerah tertentu
3575,3575,9/14/2021,netral,lain,okay min
3576,3576,9/14/2021,netral,lain,makasih
3577,3577,9/14/2021,netral,lain,terima kasih informasinya min
3578,3578,9/14/2021,netral,lain,tewak sekitaran sukapura babakan sari atau parakan saat yah
3579,3579,9/14/2021,netral,lain,ini selalu saya lakukan
3580,3580,9/14/2021,netral,experience,related hampir telat padahal peluit kondektur udah dibunyikan aku masih cetak tiket hahahah
3581,3581,9/14/2021,netral,lain,okay terima kasih min
3582,3582,9/14/2021,netral,jadwalrute,min ka lokal dhoho penataran mulai beroperasi kapan
3583,3583,9/14/2021,netral,syarat,halo min untuk cek rapid antigen di stasiun gambir tipe nya swab antigen oral atau darah ya
3584,3584,9/14/2021,netral,syarat,min jakarta yogyakarta udah tidak wajib bawa antigen
3585,3585,9/14/2021,netral,jadwalrute,min taksaka menghilang dari semua schedule ini kenapa ya
3586,3586,9/14/2021,netral,jadwalrute,kalo ini cuma commuter aja ya
3587,3587,9/14/2021,netral,lain,makasih min
3588,3588,9/14/2021,netral,syarat,apa syarat naik kereta bengawan dari purwokerto purwosari
3589,3589,9/14/2021,netral,syarat,sore rencana perjalanan di tanggal september dari stasiun gambir untuk test antigen baiknya minimal berapa jam sebelum perjalanan
3590,3590,9/14/2021,netral,syarat,hasil testnya hardcopy atau boleh dalam softcopyvia aplikasi pedulilindungi
3591,3591,9/14/2021,netral,jadwalrute,min prameks masih beroperasi tidak di kai access tidak tersedia untuk perjalanan besok jenar yogyakarta
3592,3592,9/14/2021,netral,syarat,admin mohon infonaik ka probowangi ada persyaratan
3593,3593,9/14/2021,netral,jadwalrute,bima priority itu masih beroperasi tidak sih min
3594,3594,9/14/2021,netral,lain,kalo kondisi penting masuk kereta dulu aku
3595,3595,9/14/2021,netral,jadwalrute,rencana perjalanan dari yogyakarta gambir tanggal september 
3596,3596,9/14/2021,netral,experience,jadi kangen naik kereta jateng or jatim
3597,3597,9/14/2021,netral,jadwalrute,please kereta lokalnya dijalanin lagi transportasi termudah pernah ada please
3598,3598,9/14/2021,netral,aturan,kalau face shield dapat dari kereta nya ya min
3599,3599,9/14/2021,netral,jadwalrute,min kereta bandara adi soemarmo solo sudah beroperasi lagi bisa minta jadwal updatenya dari bandara stasiun solo balapan
3600,3600,9/14/2021,netral,syarat,dear pandemi kurang lebih hampir ini saya tidak pernah lagi naik kereta api sekarang pengen coba naik kereta tegal dari gambir persyaratan harus saya siaplikasian apa saja min terima kasih
3601,3601,9/14/2021,netral,lain,railmin bikin tips untuk milih kursi di kelas ekonomi premium supaya bisa dapet bangku searah kedatangan kereta bukan dapet kursi mundur heheheh
3602,3602,9/14/2021,netral,fasilitas,sama penanda gerbong ya min ini lebih penting hehehe bukan cuma konten aja terima kasih
3603,3603,9/14/2021,netral,lain,sensasi kereta lokal dengan kode nomor duduk tetap rebutan
3604,3604,9/14/2021,netral,experience,liat videonya jadi kangen naik kereta terakhir naik kereta pas awal pandemi
3605,3605,9/14/2021,netral,syarat,kereta probowangi jemberprobolinggo bagaimana ya kak hanya bukti vaksin dosis terima kasih
3606,3606,9/14/2021,netral,syarat,sore min mau nanya untuk perjalanan kai dari jakarta bandung memerlukan hasil rapid test atau cukup dengan kartu vaksinasi thank you
3607,3607,9/14/2021,netral,syarat,untuk tes rapid antigen di stasiun sidoarjo dari jam berapa sampai jam berapa terima kasih
3608,3608,9/14/2021,netral,experience,bikin versi musim masa covid min pengecekan dan lain lain nya selama masa covid belum naik kereta lagi hampir satu lebih
3609,3609,9/14/2021,netral,syarat,kalau swabnya tidak ada jamnya cuma tanggal aja gimana min
3610,3610,9/14/2021,netral,jadwalrute,jadwal krl solo yogyakarta jam dari stasiun purwosari kapan di operasikan jadwalnya dari jam is too long
3611,3611,9/14/2021,netral,ticketing,halo kak mohon bantuannya untuk merubah nik penumpang salah pada saat pemesanan tiket terima kasih
3612,3612,9/14/2021,netral,jadwalrute,min info kereta lokal karawang cikarang sudah beroperasi belum ya
3613,3613,9/14/2021,netral,lain,oke terima kasih
3614,3614,9/14/2021,netral,syarat,krd bojonegoro sidoarjo wajib pakai rapid juga min
3615,3615,9/14/2021,netral,jadwalrute,min mau tanya untuk kereta api lokal merak rangkasurabaya pasar turitung sudah beroprasi belum ya terima kasih
3616,3616,9/14/2021,netral,lain,sudah tolong cek dm min
3617,3617,9/14/2021,netral,jadwalrute,halo min kemarin dapet info kalau kai lokal surabaya blitar udah aktif mulai tanggal ya tapi ini saya cek di kaiacses tidak ada jadwalnya ya min apa cuma hoax
3618,3618,9/14/2021,netral,syarat,untuk naik kereta perjalanan jauh ada rapid test nya ga
3619,3619,9/14/2021,netral,ticketing,saya sudah vaksis dosis tapi kalau untuk rapid bisa di stasiun ya biayanya sudah beli tiket kereta api atau diluar itu
3620,3620,9/14/2021,netral,ticketing,min ka ekonomi bangunkarta dan matarmaja keberangkatan dari pasar senen pakai rangkaian premium atau ekonomi lama ya
3621,3621,9/14/2021,netral,syarat,saya sudah swab kak tapi tidak ada jamnya bisa dipakai buat besok ya kak
3622,3622,9/14/2021,netral,jadwalrute,min kereta rute semarang purwokerto tidak ada beroperasi saya cek di website booking tiket tidak ada schedule
3623,3623,9/14/2021,netral,lain,halo min bantu cek dm ya terima kasih
3624,3624,9/14/2021,netral,jadwalrute,jadwal krl solo yogyakarta berubah berubah terus ya jadwal sekarang sudah fix atau masih akan berubah lagiapakah patokannya setelah pengumuman ppkm
3625,3625,9/14/2021,netral,syarat,sore min kalo naik kereta dari bekasi ciamis harus pake surat antigen
3626,3626,9/14/2021,netral,jadwalrute,min kereta lokal surabaya bojonegoro suda bisa ya min
3627,3627,9/14/2021,netral,experience,pengen naik kereta lagi dari yogyakarta ujung timur pulau jawa
3628,3628,9/14/2021,netral,jadwalrute,untuk tanggal sudah buka tiket ya min sudah ada kereta lokal merak
3629,3629,9/14/2021,positif,jadwalrute,min ini serius jadwal aaaaa senang
3630,3630,9/14/2021,netral,jadwalrute,syarat kereta lokal itu apa sih kereta lokal surabaya malang belum tersedia
3631,3631,9/14/2021,netral,syarat,oke thank you jadi intinya bukan perjalanan dinas tetap bisa berangkat persyaratan seperti menunjukan kartu vaksin dan swab antigen
3632,3632,9/14/2021,netral,syarat,syaratnya apa saja
3633,3633,9/14/2021,netral,jadwalrute,halo min kereta surabayayogyakarta mulai kapan beroperasi syaratnya apa saja
3634,3634,9/14/2021,netral,lain,hai min aku dm lo dari kemarin pagi belum dibuka tolong ya hehe
3635,3635,9/14/2021,netral,jadwalrute,kapan ini kereta lokal rapid dhoho penataran jalan lagi ya dah lama ini tidak naik kereta langganan tempat kerja
3636,3636,9/14/2021,netral,jadwalrute,kedung sepur mulai beroperasi kapan ya min
3637,3637,9/14/2021,netral,syarat,hai min syarat naik ka jarak jauh apa ya
3638,3638,9/14/2021,netral,syarat,gambir surabaya gubeng malem naik apa ya
3639,3639,9/14/2021,netral,jadwalrute,min ka lokal walahar dari stasiun cikarang sudah beroperasi dan untuk jam operasionalnya itu jam berapa ya
3640,3640,9/14/2021,netral,fasilitas,min kereta api jayabaya dari malang itu masuknya dari stasiun kota malang baru atau stasiun kota baru lama
3641,3641,9/14/2021,netral,jadwalrute,kalo untuk jumat ini sudah beroperasi min
3642,3642,9/14/2021,netral,jadwalrute,min stasiun kebumen udah seminggu ini jamnya ganti jadi 
3643,3643,9/14/2021,netral,ticketing,min pemesanan tiket via aplikasi dapat error internal server error terus kenapa ya
3644,3644,9/14/2021,netral,lain,terima kasih atas informasinya
3645,3645,9/14/2021,netral,lain,besok sudah ada keputusan berbeda ya
3646,3646,9/14/2021,netral,syarat,selamat malam min persyaratan naik kereta dari cilacap bandung apa saja bisa tes covid di stasiun mana
3647,3647,9/14/2021,netral,lain,terima kasih min
3648,3648,9/14/2021,netral,lain,sent dm min
3649,3649,9/14/2021,netral,experience,kangen naik kereta min terakhir naik kereta pas surabaya 
3650,3650,9/14/2021,netral,lain,cek dm min
3651,3651,9/14/2021,negatif,lain,jangan pelit min
3652,3652,9/14/2021,netral,syarat,min perjalanan surabaya malang membutuhkan tes swab atau antigen ya
3653,3653,9/14/2021,netral,syarat,berhubung sertifikat vaksin saya belum turun boleh syarat di gantikan dengan kartu vaksin
3654,3654,9/14/2021,netral,syarat,malam min hasil test antigen dan sertifikat vaksin untuk syarat perjalanan ka jarak jauh apa bisa ditunjukan lewat hp by email dan aplikasi peduli lindung atau di print test antigen di luar stasiun
3655,3655,9/14/2021,netral,syarat,di stasiun bekasi kereta saya berangkat jam siang tanggal dan tes antigen mulai bisa di daftar jam pagi nya
3656,3656,9/14/2021,netral,jadwalrute,kalau kereta joglosemarkarto beroperasi tidak min september ini
3657,3657,9/14/2021,netral,ticketing,min saya udah order tiket ka lokal rangkasmerak buat tanggal september tapi tiba tiba batal ya min itu gimana ya min
3658,3658,9/14/2021,positif,experience,mantap min btw itu ada didalam video ka jayakarta ya nih keretanya
3659,3659,9/14/2021,negatif,jadwalrute,ya kalo belom fix jadwalnya jangan dimunculin geh di aplikasi bikin php bikin rugi uang coba mimin bisa balikin duit saya itu tidak balikin pokoknya balikin
3660,3660,9/14/2021,netral,ticketing,halo ka kenapa ya lokal merak dibatalin padahal udah pesen tiket
3661,3661,9/14/2021,netral,jadwalrute,halo min mau tanya kalau ka taksaka apa sudah beroperasi terima kasih
3662,3662,9/14/2021,netral,syarat,boleh infonya min untuk jam operasional test antigen di stasiun semarang tawang
3663,3663,9/14/2021,negatif,ticketing,cuma itu tetep uang min coba bayangin ada berapa orang udah terlanjur beli tiket tapi kereta tidak jalan fraud bukan nih min
3664,3664,9/14/2021,netral,lain,okay makasih ya minn
3665,3665,9/14/2021,netral,jadwalrute,min kereta tumapel malang surabaya pp belum jalan
3666,3666,9/14/2021,netral,ticketing,halo kak izin bertanya krl solo yogyakarta pp bisa dibeli di aplikasi kai access
3667,3667,9/14/2021,netral,syarat,min kalo ka maharani dari babat lamongan semarang poncol apa masih wajib pake rapid pcr
3668,3668,9/14/2021,netral,lain,min cek dm ya
3669,3669,9/14/2021,netral,ticketing,min ini kenapa aplikasi kai access nya gabisa dibuka
3670,3670,9/14/2021,netral,aturan,min mau tanya bayi bisa naik ka jarak jauh tidak ya gambir yogyakarta
3671,3671,9/14/2021,netral,lain,cek dm
3672,3672,9/14/2021,netral,lain,mohon cek dm
3673,3673,9/14/2021,netral,ticketing,min kai access gangguan kah tidak bisa booking tiket
3674,3674,9/14/2021,netral,lain,makasih min
3675,3675,9/14/2021,netral,ticketing,udah aku lakuin semua min tapi tetep gabisa atau aplikasi nya lagi down
3676,3676,9/14/2021,netral,jadwalrute,min joglo semarkerto kapan beroprasi lagi
3677,3677,9/14/2021,netral,lain,cek dm
3678,3678,9/14/2021,netral,ticketing,kai access selalu something when wrong kenapa ya
3679,3679,9/14/2021,netral,syarat,vaksin di stasiun bandung dosis masih bisa min
3680,3680,9/14/2021,netral,lain,cek dm min
3681,3681,9/14/2021,netral,syarat,halo kak untuk antigen disediakan di stasiun tegal sampai jam berapa ya
3682,3682,9/14/2021,netral,lain,terima kasih
3683,3683,9/14/2021,netral,syarat,min biaya rapid test di stasiun pasar senen berapa ya dan berlaku untuk naik kereta jarak jauh mulai kapan terima kasih
3684,3684,9/14/2021,netral,ticketing,ini pembatalan sampai tanggal berapa min
3685,3685,9/14/2021,netral,ticketing,min saya tadi beli tiket ka argo bromo anggrek sudah bayar juga tapi sekarang tidak bisa masuk aplikasinya mau cek tiket sudah terbit atau belum email juga belum ada update gimana ya makasih
3686,3686,9/14/2021,netral,lain,min tolong cek dm ya
3687,3687,9/14/2021,netral,lain,terima kasih mimin juga ya
3688,3688,9/14/2021,netral,ticketing,halo server down ya saya mau cek tiket saya nih besok mau berangkat gabisa bisa
3689,3689,9/14/2021,netral,jadwalrute,terus ka lokal merak kapan beroperasi lagi min
3690,3690,9/14/2021,netral,lain,min cek dm ya makasih
3691,3691,9/14/2021,netral,lain,min tolong dm nomor wa mbaknya itu ya min video tutorial kurang jelas jadi pingin belajar langsung naik kereta si mbak langsung takut salah naik kereta nih
3692,3692,9/14/2021,netral,ticketing,sama selalu update batal operasi di malam tidak sedari siang diumumkan sudah pasti hangus lagi gatau batal oprasi sampai kapan dan tiba tiba dadakan batal operasi setelah pesan jauh kumaha min
3693,3693,9/14/2021,netral,experience,malah jadi pengen naik kereta
3694,3694,9/14/2021,netral,lain,min cek dm ya
3695,3695,9/14/2021,netral,jadwalrute,min kereta lokal dhoho kapan beroperasi ya udah kangen naik kereta
3696,3696,9/14/2021,negatif,ticketing,server down ya loading mulu nih ah
3697,3697,9/14/2021,netral,lain,sudah saya dm ya min
3698,3698,9/14/2021,netral,ticketing,aplikasi kai access lagi kenapa ya daritadi something wrong terus mau pesen tiket gagal terus
3699,3699,9/14/2021,netral,lain,cek dm min makasih
3700,3700,9/14/2021,netral,ticketing,kalo untuk alternatif liat tiket udah dipesen gimana kak
3701,3701,9/14/2021,netral,lain,cdm min
3702,3702,9/14/2021,netral,experience,tangkap min membahayakan keselamatan masinis dan penumpang
3703,3703,9/14/2021,netral,syarat,min kenapa persyaratan harus dibedakan dengan ka jarak jauh aglomerasi poin itu kenapa harus dibikin beda
3704,3704,9/14/2021,netral,syarat,min rute jakarta bandung harus test antigen iya berapa hasil test antigen berlaku untuk perjalanan
3705,3705,9/14/2021,netral,jadwalrute,min kereta penatana dhoho kapan mulai beroperasi lagi min
3706,3706,9/14/2021,netral,syarat,hi kai mau tanya untuk rapid antigen stasiun yogyakarta minggu juga buka jam berapa ya hasilnya berapa lama terima kasih
3707,3707,9/15/2021,netral,lain,makasih min
3708,3708,9/15/2021,netral,syarat,malam kalau untuk test antigen di stasiun mana saja dan jam operasional nya mulai dari jam berapa sampai jam berapa membawa bukti booking tiket
3709,3709,9/15/2021,netral,syarat,stasiun bekasi ka jam operasional antigen nya dari jam berapa ya
3710,3710,9/15/2021,netral,syarat,persyaratan kereta api bandung jakarta terbaru apa saja ya sama biaya rapid di stasiun berapa terima kasih
3711,3711,9/15/2021,netral,ticketing,kak bagaimana solusi untuk pembatalan tiket ini ya kalau di stsiun lagsung ada minimal jam sebelum keberangkatan
3712,3712,9/15/2021,netral,lain,sudah saya kirim dm kak mohom dibantu thank you
3713,3713,9/15/2021,netral,lain,cek dm
3714,3714,9/15/2021,netral,jadwalrute,adakah kereta tujuan stasiun yogyakarta tanpa peryaratan untuk penumpang seperti joglosemarketo waktu itu ka
3715,3715,9/15/2021,netral,jadwalrute,admin tolong dibenahi lagi ini tiba tiba di last minute jadwal hilang untuk ka merak di aplikasi kalau belum beroperasi tolong info pasti orang berbedabeda jangan harapan palsu seperti ini
3716,3716,9/15/2021,netral,jadwalrute,dhoho penataran kapan jalan min
3717,3717,9/15/2021,netral,jadwalrute,pagi ka walahar dan cibatuan kapan ada jadwal nya lagi ya sudah banyak pelonggaran ppkm di level mohon info nya ya
3718,3718,9/15/2021,netral,jadwalrute,pagi min mau tanya ini kereta api penataran dhoho sudah mulai jadi beroperasi atau tidak terhitung ini tanggal september masih belum terdapat jadwal keberangkatan sekian terima kasih
3719,3719,9/15/2021,netral,aturan,min kereta kahuripan tiap duduknya ada dikosongkan pembatas jaga jarak
3720,3720,9/15/2021,netral,jadwalrute,min kereta kedung sepur kapan beroperasi lagi ya
3721,3721,9/15/2021,netral,syarat,hi ini info bener min mulai september pt kai indonesia mewajibkan calon penumpang untuk mendownload aplikasi pedulilindungi namun kartu vaksin fisik juga dibolehkan min
3722,3722,10/3/2021,netral,lain,siang kak saya ada dm lagi ya kak mohon responnya terima kasih
3723,3723,10/3/2021,netral,jadwalrute,trus kalo mau semarang kereta apa murah kayak maharani
3724,3724,10/3/2021,netral,jadwalrute,seneng banget lodaya sudah beroperasi lagi tinggal nunggu regulasi baru dan siap mudik
3725,3725,10/3/2021,netral,syarat,mau menayakan perjalana kereta dari surabaya yogyakarta apa masih rapid antigen kalau sudah ada vaksin
3726,3726,10/3/2021,netral,aturan,dear min anak sudah bisa naik kereta
3727,3727,10/3/2021,netral,jadwalrute,kali naik kereta joglosenar naik dan turunya bisa lewat statisun lempuyangan yogyakarta
3728,3728,10/3/2021,netral,lain,cek dm ya min
3729,3729,10/3/2021,netral,aturan,min naik kereta bawa sepeda mtb apa bisa bawa sepeda jenis mtb
3730,3730,10/3/2021,netral,experience,ka alat transportasi favoritku pertengahan an pernah ikut naik di lokomotif saat liputan angkutan lebaran serem malah goyangannya lokomotifnya mau lompat dari rel seingatku aku belum pernah kecewa dengan pelayanan selama ini
3731,3731,10/3/2021,netral,syarat,admin syarat kai jarak jauh boleh untuk kartu vaksin saya menggunakan sertifikan vaksin ada pada aplikasi pedulilindungi secara digital
3732,3732,10/3/2021,netral,jadwalrute,dari madiun semarang tawang kak
3733,3733,10/3/2021,netral,syarat,siang min persyaratan perjalanan jarak jauh naik kereta skrang apa ya
3734,3734,10/3/2021,netral,lain,rt
3735,3735,10/3/2021,netral,syarat,halo admin pelayanan antigen di stasiun klaten jam berapa aja kah
3736,3736,10/3/2021,netral,syarat,hasil swab di print tidak ya min untuk syarat naik kereta
3737,3737,10/3/2021,positif,pelayanan,seseneng itu naik kereta lagi terima kasih atas pelayanannya dari mulai petugas antigen petugas stasiun sampai petugas di kereta semuanya terbaik
3738,3738,10/3/2021,netral,lain,baik terima kasih atas infonya
3739,3739,10/3/2021,netral,lain,terima kasih
3740,3740,10/3/2021,netral,ticketing,gimana ubah nomor handphone di akun kai access
3741,3741,10/3/2021,netral,syarat,kalo rapid antigen di klinik lain selain di stasiun boleh min
3742,3742,10/3/2021,netral,lain,dari mana
3743,3743,10/3/2021,netral,lain,halo min cek dm
3744,3744,10/3/2021,netral,syarat,halo railmin tanya untuk test antigen di stasiun jember terintegrasi dengan aplikasi pedulilindungi
3745,3745,10/3/2021,netral,lain,alhamdulillah suwun
3746,3746,10/3/2021,netral,lain,selamat siang terima kasih atas informasinya
3747,3747,10/3/2021,netral,jadwalrute,min ka ambarawa express dan blora jaya kapan beroperasinya
3748,3748,10/3/2021,netral,lain,akan tertawa melihat tweet ini
3749,3749,10/3/2021,netral,experience, naik ka gaya baru sama sekolah dari pasar senen tujuan bali transit surabaya hampir jam keknya sampai surabaya tidak bisa jalan penuh orang dilantai dengan orang penuh jualan tumbila di blakang bangku pengap non ac plus keringet
3750,3750,10/3/2021,netral,jadwalrute,udah mulai beroperasi mas jadwal kereta juga udah tersedia tadi saya cek kai access
3751,3751,10/3/2021,netral,lain,cek dm min makasih
3752,3752,10/3/2021,netral,lain,min dm saya belum dibales
3753,3753,10/3/2021,netral,lain,okee min makasih
3754,3754,10/3/2021,netral,syarat,admin syarat kai jarak jauh boleh untuk kartu vaksin saya menggunakan sertifikan vaksin ada pada aplikasi pedulilindungi secara digital
3755,3755,10/3/2021,netral,lain,setiap ya kak
3756,3756,10/3/2021,netral,lain,blok
3757,3757,10/3/2021,netral,jadwalrute,semarang poncol stasiun brebes terima kasih
3758,3758,10/3/2021,netral,lain,dibuka dulu gemboknya hm
3759,3759,10/3/2021,netral,lain,tolong balas dm saya admin
3760,3760,10/3/2021,netral,syarat,selamat siang kak untuk stasiun semarang poncol jam buka layanan test swab sampai jam berapa ya terima kasih
3761,3761,10/3/2021,netral,syarat,siang admin mohon informasi untuk layanan tes rapid di stasiun yogyakarta buka setiap dan tersedia sampai jam berapa terima kasih
3762,3762,10/3/2021,netral,aturan,sekarang satu gerbong eksekutif maksimal berapa persen
3763,3763,10/3/2021,netral,ticketing,semoga kuala stabas kembali menjadi aglomerasi mohon bantuannya juga terima kasih
3764,3764,10/3/2021,netral,syarat,min di stasiun lamongan ada antigennya kah mulai buka jam berapa ya sama aku bookingnya di surabaya pasar turi tapi naiknya di stasiun lamongan deket dan keretanya lewat situ boleh ya min
3765,3765,10/3/2021,netral,aturan,extra mengedukasi bersama kegiatan disiplin perlintasan kegiatan edukasi di perlintasan sebidang dan terbuka untuk dengan pembatasan sesuai protokol kesehatan ya
3766,3766,10/3/2021,netral,jadwalrute,siang min sekarang sudah tidak ada kereta berhenti di stasiun arjawinangun ya mohon infonya min
3767,3767,10/3/2021,netral,syarat,halo min rapid test antigen di stasiun pasar senen buka jam pagi tapi pas subuh subuh jam kurang baru dilayaninya jam sedangkan saya keretanya bengawan berangkat jam hangus refund tiket
3768,3768,10/3/2021,netral,jadwalrute,rencananya bukan dari gubeng kak tapi dari wonokromo pake penataran dhoho ini
3769,3769,10/3/2021,netral,lain,informasi detail silahkan menghubungi call centre kai logistik express dinomor ext whatsaplikasi jam operasional selama pandemi wib terima kasih
3770,3770,10/3/2021,netral,lain,hai selamat siang informasikan untuk pengiriman hewan tersedia namun tergantung kota dan kota tujuan pengiriman mohon diinformasikan untuk kota pengiriman dapat bantu informasikan
3771,3771,10/3/2021,netral,ticketing,min kai ada gangguan aplikasi pemesanan ya saya sudah bayar tiketnya tidak muncul
3772,3772,10/3/2021,netral,experience,alhamdulillah akhirnya jadi tidak ada lagi drama muntah muntah naik coyo
3773,3773,10/3/2021,netral,aturan,sekarang kalau naik kereta jarak jauh kursi sebelah kosong atau tetep ada orang ya
3774,3774,10/3/2021,netral,syarat,untuk penggunaan antigen itu masa berlakunya jam atau jam ya min
3775,3775,10/3/2021,netral,lain,bagaimana hasil pengecekan nya min gak ada lanjutan laporan nya terus saya tau bagaimana
3776,3776,10/3/2021,netral,lain,masalah dari jaman belum ada fly over jempol untuk cegah masyarakat tak berdosa tak celaka akibat engineer smp sekarang belum menemukan solusi teknisnya prihatin semoga cepat ada solusi titip pesan untuk dishub bantu untuk rambu khusus
3777,3777,10/3/2021,netral,lain,baik terima kasih infonya
3778,3778,10/3/2021,netral,jadwalrute,pemesanan ka bandara ini tidak bisa ya min
3779,3779,10/3/2021,netral,experience,jujur lebih suka lewat jalur utara selama perjalanan di suguhi pemandangan indah banget
3780,3780,10/3/2021,netral,syarat,min kalau dari pasar turi lamongan udah ada syaratnya apa aja antigen juga tidak
3781,3781,10/3/2021,netral,jadwalrute,logawa kapan nih min kira kira beroperasi kembali
3782,3782,10/3/2021,netral,jadwalrute,min izin ralat itu ka ranggajati relasinya cirebon surabaya gubeng jember
3783,3783,10/3/2021,netral,syarat,permisi kak mau tanya pelayanan rapid test antigen di stasiun solo balapan minggu buka dari jam sampai jam berapa kak
3784,3784,10/3/2021,netral,syarat,dari semarang cepu min apa harus swab antigen
3785,3785,10/3/2021,netral,syarat,pelayanan tes antigen di stasiun purwokerto jam tidaknya min terima kasih
3786,3786,10/3/2021,netral,jadwalrute,ada jadwal keberangkatan kereta bandara yia
3787,3787,10/3/2021,netral,lain,oke terima kasih
3788,3788,10/3/2021,netral,jadwalrute,min apa kabar kereta tegal ekspress kenapa di kai access menghilang
3789,3789,10/3/2021,netral,syarat,keberangkatan dari stasiun purwokerto stasiun lempuyangan harus membawa surat rapid
3790,3790,10/3/2021,netral,syarat,min ya semarang tegal apa harus antigen anak dibawah sudah boleh melakukan perjalanan jarak dekat semarang tegal
3791,3791,10/3/2021,netral,lain,min cek dm ya makasih
3792,3792,10/3/2021,netral,lain,okey terima kasih infonya mimin semoga tidak batal
3793,3793,10/3/2021,netral,syarat,kakkalau naik kereta tawangalun dari malang banyuwangi harus rapid test
3794,3794,10/3/2021,netral,jadwalrute,kertajaya dharmawangsa harina ganti jadwal
3795,3795,10/3/2021,netral,lain,makasih
3796,3796,10/3/2021,netral,syarat,kak min mau tanya untuk ka lokal yogyakarta yia anak usia dibawah sudah boleh naik belum thank you
3797,3797,10/3/2021,netral,lain,min tolong cek dm nya
3798,3798,10/3/2021,negatif,lain,halo sudah koordinasi dengan betul laporan saya mei terkait jalanan rusak dan respond dari lampiran terlampir jadi tolong ya segera benahi jangan menjadi penghambat pengendara
3799,3799,10/3/2021,netral,lain,balas lagi ya min
3800,3800,10/3/2021,netral,lain,woooo ngetan po min jo lali nggawak yangko yo min
3801,3801,10/3/2021,negatif,lain,saya sudah muak setiap melewati perlintasan kereta api rusak dan membuat macet pengguna jalan laporan saya dari mei tidak ada respon
3802,3802,10/3/2021,netral,lain,alhamdulilllah ya allah
3803,3803,10/3/2021,negatif,lain,mikir dulu baru komentar besok belajar lagi ya wawasanmu masih rendah
3804,3804,10/3/2021,negatif,lain,saya lebih percaya account verified ini bro di banding sotoy besok belajar lagi ya baru comment
3805,3805,10/3/2021,netral,lain,di lempuyangan kak
3806,3806,10/3/2021,netral,jadwalrute,terima kasih mulai besok kaligung sudah mulai beroperasi kembali jadi anak kereta lagi
3807,3807,10/3/2021,netral,lain,wkwk adminnya typo parah
3808,3808,10/3/2021,netral,lain,sudah kak mohon dicek kembali terima kasih atas responnya
3809,3809,10/3/2021,netral,lain,cek dm min
3810,3810,10/3/2021,netral,jadwalrute,ka maharani sudah tak beroperasi kah
3811,3811,10/3/2021,netral,jadwalrute,jadwalnya banyak salah itu baik relasi jadwalnya ya kali ranggajati rutenya dari gambir surabaya gubeng lagi cirebon
3812,3812,10/3/2021,netral,lain,tunggu aja dari adminnya
3813,3813,10/3/2021,negatif,lain,jaga begok lu
3814,3814,10/3/2021,netral,lain,kak cek dm ya kak terima kasih
3815,3815,10/3/2021,netral,lain,sampean tidak usah tersinggung santai aja
3816,3816,10/3/2021,netral,lain,sampean muak dengan kritik anies sampean itu penjaganya saat anis di kritik sampean marah itu bukti jakarta itu milik biar tau milik jakarta sbb jakarta itu ibu kota negara
3817,3817,10/3/2021,netral,lain,jauh banget ya dari jember jadi gambir
3818,3818,10/3/2021,positif,experience,sebagai orang langganan naik kereta dari ngerasain sih makin sini makanan di kereta makin enak dan pilihan menunya juga makin banyak good job
3819,3819,10/3/2021,netral,lain,yuhu bisa kali naik kereta jauh
3820,3820,10/2/2021,netral,lain,semoga bukan bekas kumis jenggot atau jembut haha
3821,3821,10/2/2021,netral,lain,aamiin
3822,3822,10/2/2021,netral,lain,heh rambut kriting piye
3823,3823,10/2/2021,netral,lain,widih have nice holiday
3824,3824,10/2/2021,netral,syarat,halo selamat malam mau tanya untuk pelayanan tes swab antigen di stasiun gambir itu sampai jam berapa operasinya terima kasih
3825,3825,10/2/2021,netral,lain,mudik tuan
3826,3826,10/2/2021,netral,syarat,kalau untuk penumpang kereta lokal belum vaksin bagaimana ya min
3827,3827,10/2/2021,netral,lain,gatau juga dpaatnya kemarin
3828,3828,10/2/2021,netral,lain,makasih infonya min
3829,3829,10/2/2021,netral,jadwalrute,lebih lagi min sampai bojonegoro jam atau jam setengah gitu
3830,3830,10/2/2021,netral,lain,terima kasih min
3831,3831,10/2/2021,netral,syarat,min mau tanya anak dibawah udah bisa naik kereta belum ya
3832,3832,10/2/2021,netral,lain,alhamdulillah
3833,3833,10/2/2021,netral,jadwalrute,ka pangandaran kapan min
